position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Pokemon,Series,Nintendo  ,Game Freak  ,N/A  ,N/A  ,N/A  ,464.84m,N/A,N/A,N/A,N/A,N/A,28th Sep 98  ,03rd Feb 20
2,Final Fantasy,Series,Square  ,Square  ,N/A  ,N/A  ,N/A  ,173.20m,N/A,N/A,N/A,N/A,N/A,18th Dec 87  ,28th Feb 20
3,Monster Hunter,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,90.30m,N/A,N/A,N/A,N/A,N/A,21st Sep 04  ,03rd Feb 20
4,Dragon Quest,Series,Square  ,ArtePiazza  ,N/A  ,N/A  ,N/A  ,85.00m,N/A,N/A,N/A,N/A,N/A,27th May 86  ,27th Feb 20
5,Dragon Ball,Series,Bandai  ,Tose  ,N/A  ,N/A  ,N/A  ,65.85m,N/A,N/A,N/A,N/A,N/A,27th Sep 86  ,05th Mar 20
6,The Witcher,Series,CD Projekt  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,65.00m,N/A,N/A,N/A,N/A,N/A,30th Oct 07  ,13th Feb 20
7,The Elder Scrolls,Series,Bethesda Softworks  ,Bethesda Softworks  ,N/A  ,N/A  ,N/A  ,58.62m,N/A,N/A,N/A,N/A,N/A,25th Mar 94  ,04th Mar 20
8,Diablo,Series,Blizzard Entertainment  ,Blizzard North  ,N/A  ,N/A  ,N/A  ,55.00m,N/A,N/A,N/A,N/A,N/A,03rd Jan 97  ,18th Feb 20
9,Fallout,Series,Bethesda Softworks  ,Interplay Entertainment  ,N/A  ,N/A  ,N/A  ,46.43m,N/A,N/A,N/A,N/A,N/A,10th Oct 97  ,07th Mar 20
10,The Witcher 3: Wild Hunt,All,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,40.00m,N/A,N/A,N/A,N/A,N/A,18th May 15  ,29th Oct 20
11,Kingdom Hearts,Series,Square Enix  ,Square  ,N/A  ,N/A  ,N/A  ,36.00m,N/A,N/A,N/A,N/A,N/A,17th Sep 02  ,27th Feb 20
12,Souls,Series,Bandai Namco Entertainment  ,From Software  ,N/A  ,N/A  ,N/A  ,35.80m,N/A,N/A,N/A,N/A,N/A,06th Oct 09  ,17th Feb 20
13,Dark Souls,Series,Bandai Namco Entertainment  ,From Software  ,N/A  ,N/A  ,N/A  ,33.40m,N/A,N/A,N/A,N/A,N/A,04th Oct 11  ,22nd Oct 22
14,Pokémon Red / Green / Blue Version,GB,Nintendo  ,Game Freak  ,N/A  ,9.4  ,N/A  ,31.38m,N/A,N/A,N/A,N/A,N/A,30th Sep 98  ,N/A
15,Diablo III,All,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,N/A  ,N/A  ,30.00m,N/A,N/A,N/A,N/A,N/A,15th May 15  ,29th Oct 20
16,The Elder Scrolls V: Skyrim,All,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,N/A  ,N/A  ,30.00m,N/A,N/A,N/A,N/A,N/A,10th Nov 11  ,27th Oct 20
17,Tales of,Series,Namco  ,Bandai Namco Studios  ,N/A  ,N/A  ,N/A  ,27.75m,N/A,N/A,N/A,N/A,N/A,30th Sep 98  ,06th Feb 20
18,Pokémon Sword / Shield,NS,Nintendo  ,Game Freak  ,7.0  ,N/A  ,N/A  ,25.68m,N/A,N/A,N/A,N/A,N/A,15th Nov 19  ,21st Nov 19
19,Pokémon Gold / Silver Version,GB,Nintendo  ,Game Freak  ,N/A  ,9.2  ,N/A  ,23.10m,N/A,N/A,N/A,N/A,N/A,14th Oct 00  ,N/A
20,Final Fantasy X/X-2,All,Square  ,Square  ,N/A  ,N/A  ,N/A  ,20.80m,N/A,N/A,N/A,N/A,N/A,17th Dec 01  ,19th Oct 20
21,Pokémon Scarlet / Violet,NS,Nintendo  ,Game Freak  ,7.0  ,N/A  ,N/A  ,20.61m,N/A,N/A,N/A,N/A,N/A,18th Nov 22  ,31st May 22
22,Super Robot Wars,Series,Bandai  ,Banpresto  ,N/A  ,N/A  ,N/A  ,20.06m,N/A,N/A,N/A,N/A,N/A,20th Apr 91  ,19th Feb 20
23,Cyberpunk 2077,All,CD Projekt Red Studio  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,10th Dec 20  ,02nd Oct 22
24,Fallout 4,All,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,10th Nov 15  ,30th Oct 20
25,Monster Hunter: World,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,26th Jan 18  ,13th Oct 20
26,Persona,Series,Atlus  ,Atlus  ,N/A  ,N/A  ,N/A  ,18.33m,N/A,N/A,N/A,N/A,N/A,01st Nov 96  ,03rd Feb 20
27,Pokémon Diamond / Pearl Version,DS,Nintendo  ,Game Freak  ,N/A  ,8.6  ,N/A  ,17.67m,N/A,N/A,N/A,N/A,N/A,28th Apr 07  ,N/A
28,Pokemon Mystery Dungeon,Series,Nintendo  ,Chunsoft  ,N/A  ,N/A  ,N/A  ,16.86m,N/A,N/A,N/A,N/A,N/A,18th Sep 06  ,03rd Mar 20
29,Pokémon X/Y,3DS,Nintendo  ,Game Freak  ,8.7  ,8.9  ,9.3  ,16.68m,N/A,N/A,N/A,N/A,N/A,12th Oct 13  ,06th Jan 18
30,Deus Ex,Series,Eidos Interactive  ,Ion Storm  ,N/A  ,N/A  ,N/A  ,16.40m,N/A,N/A,N/A,N/A,N/A,17th Jun 00  ,28th Feb 20
31,Pokémon Sun/Moon,3DS,Nintendo  ,Game Freak  ,N/A  ,9.0  ,N/A  ,16.30m,N/A,N/A,N/A,N/A,N/A,18th Nov 16  ,03rd Aug 18
32,Pokémon Ruby / Sapphire Version,GBA,Nintendo  ,Game Freak  ,N/A  ,8.8  ,N/A  ,16.22m,N/A,N/A,N/A,N/A,N/A,17th Mar 03  ,N/A
33,Mass Effect,Series,Electronic Arts  ,BioWare  ,N/A  ,N/A  ,N/A  ,16.00m,N/A,N/A,N/A,N/A,N/A,20th Nov 07  ,24th Feb 20
34,The Witcher 3: Wild Hunt,PC,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,15.90m,N/A,N/A,N/A,N/A,N/A,19th May 15  ,04th May 18
35,Pokémon Black / White Version,DS,Nintendo  ,Game Freak  ,8.9  ,8.6  ,9.0  ,15.64m,N/A,N/A,N/A,N/A,N/A,06th Mar 11  ,N/A
36,"Pokémon: Let's Go, Pikachu/Eevee",NS,Nintendo  ,Game Freak  ,8.0  ,N/A  ,N/A  ,15.07m,N/A,N/A,N/A,N/A,N/A,16th Nov 18  ,31st Jan 19
37,Hogwarts Legacy,All,Warner Bros. Interactive Entertainment  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,15.00m,N/A,N/A,N/A,N/A,N/A,10th Feb 23  ,23rd Feb 23
38,The Elder Scrolls Online,All,Bethesda Softworks  ,ZeniMax Online Studios  ,N/A  ,N/A  ,N/A  ,15.00m,N/A,N/A,N/A,N/A,N/A,04th Apr 14  ,27th Oct 20
39,Pokémon Brilliant Diamond / Shining Pearl,NS,Nintendo  ,Game Freak  ,2.5  ,N/A  ,N/A  ,14.92m,N/A,N/A,N/A,N/A,N/A,19th Nov 21  ,26th Feb 21
40,Pokémon Yellow: Special Pikachu Edition,GB,Nintendo  ,Game Freak  ,N/A  ,8.7  ,N/A  ,14.64m,N/A,N/A,N/A,N/A,N/A,19th Oct 99  ,N/A
41,Pokémon Legends: Arceus,NS,Nintendo  ,Game Freak  ,8.0  ,N/A  ,N/A  ,14.63m,N/A,N/A,N/A,N/A,N/A,28th Jan 22  ,26th Feb 21
42,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,Nintendo  ,Game Freak  ,N/A  ,N/A  ,N/A  ,14.57m,N/A,N/A,N/A,N/A,N/A,21st Nov 14  ,03rd Aug 18
43,Final Fantasy VII,All,Sony Computer Entertainment  ,Square  ,N/A  ,N/A  ,N/A  ,14.10m,N/A,N/A,N/A,N/A,N/A,07th Sep 97  ,09th Oct 20
44,Yo-kai Watch,Series,Nintendo  ,Level 5  ,N/A  ,N/A  ,N/A  ,14.00m,N/A,N/A,N/A,N/A,N/A,06th Nov 15  ,16th Feb 20
45,Paper Mario,Series,Nintendo  ,Intelligent Systems  ,N/A  ,N/A  ,N/A  ,13.33m,N/A,N/A,N/A,N/A,N/A,05th Feb 01  ,21st Feb 20
46,Pokémon Heart Gold / Soul Silver Version,DS,Nintendo  ,Game Freak  ,8.5  ,8.6  ,N/A  ,12.72m,N/A,N/A,N/A,N/A,N/A,14th Mar 10  ,N/A
47,Fable,Series,Microsoft Game Studios  ,Big Blue Box  ,N/A  ,N/A  ,N/A  ,12.58m,N/A,N/A,N/A,N/A,N/A,14th Sep 04  ,25th Jul 20
48,The Witcher 3: Wild Hunt,PS4,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,12.40m,N/A,N/A,N/A,N/A,N/A,19th May 15  ,04th May 18
49,Mario & Luigi,Series,Nintendo  ,AlphaDream  ,N/A  ,N/A  ,N/A  ,12.20m,N/A,N/A,N/A,N/A,N/A,17th Nov 03  ,21st Feb 20
50,7 Days to Die,All,The Fun Pimps   ,The Fun Pimps  ,N/A  ,N/A  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,13th Dec 13  ,15th Aug 21
51,Diablo III,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,8.4  ,9.0  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,15th May 12  ,03rd Jan 18
52,Pokémon FireRed / LeafGreen Version,GBA,Nintendo  ,Game Freak  ,N/A  ,8.3  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,07th Sep 04  ,N/A
53,Dragon Age,Series,Electronic Arts  ,BioWare  ,N/A  ,N/A  ,N/A  ,11.20m,N/A,N/A,N/A,N/A,N/A,03rd Nov 09  ,31st Dec 20
54,SaGa,Series,Square Enix  ,Square  ,N/A  ,N/A  ,N/A  ,10.10m,N/A,N/A,N/A,N/A,N/A,30th Sep 90  ,29th Feb 20
55,Dark Souls III,All,Bandai Namco Entertainment  ,From Software  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,12th Apr 16  ,08th Nov 20
56,Final Fantasy XV,All,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,29th Nov 16  ,19th Oct 20
57,Monster Hunter World: Iceborne,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,06th Sep 19  ,13th Oct 20
58,Final Fantasy VII,PS,Sony Computer Entertainment  ,SquareSoft  ,N/A  ,9.6  ,9.5  ,9.90m,N/A,N/A,N/A,N/A,N/A,03rd Sep 97  ,23rd Mar 19
59,Final Fantasy VIII,All,Square  ,Square  ,N/A  ,N/A  ,N/A  ,9.60m,N/A,N/A,N/A,N/A,N/A,09th Sep 99  ,19th Oct 20
60,Pokémon: Ultra Sun and Ultra Moon,3DS,Nintendo  ,Game Freak  ,N/A  ,8.1  ,N/A  ,9.15m,N/A,N/A,N/A,N/A,N/A,17th Nov 17  ,03rd Aug 18
61,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,9.3  ,N/A  ,N/A,8.88m,5.10m,2.83m,0.10m,0.85m,11th Nov 11  ,01st Apr 18
62,Xeno,Series,Square  ,Square  ,N/A  ,N/A  ,N/A  ,8.85m,N/A,N/A,N/A,N/A,N/A,20th Oct 98  ,14th Mar 20
63,Megami Tensei,Series,Atlus  ,Atlus  ,N/A  ,N/A  ,N/A  ,8.80m,N/A,N/A,N/A,N/A,N/A,12th Oct 04  ,07th Feb 20
64,Monster Hunter Generations,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,8.80m,N/A,N/A,N/A,N/A,N/A,15th Jul 16  ,13th Oct 20
65,Final Fantasy VIII,PS,Square EA  ,SquareSoft  ,N/A  ,9.4  ,N/A  ,8.60m,N/A,N/A,N/A,N/A,N/A,07th Sep 99  ,N/A
66,Final Fantasy X,PS2,Square  ,SquareSoft  ,N/A  ,9.0  ,10.0  ,8.60m,N/A,N/A,N/A,N/A,N/A,17th Dec 01  ,N/A
67,Pokémon Black 2 and White 2,DS,Nintendo  ,Game Freak  ,8.9  ,8.0  ,8.3  ,8.52m,N/A,N/A,N/A,N/A,N/A,07th Oct 12  ,25th Feb 18
68,Fallout 4,PS4,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,8.6  ,N/A  ,N/A,8.48m,2.91m,3.97m,0.27m,1.34m,10th Nov 15  ,24th Mar 18
69,Monster Hunter 4,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,8.30m,N/A,N/A,N/A,N/A,N/A,13th Feb 15  ,13th Oct 20
70,Dragon Ball Xenoverse 2,All,Bandai Namco Entertainment  ,Dimps Corporation  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,25th Oct 16  ,27th Oct 20
71,Inazuma Eleven,Series,Level 5  ,Level 5  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,22nd Aug 08  ,17th Feb 20
72,Final Fantasy XII,All,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,7.71m,N/A,N/A,N/A,N/A,N/A,31st Oct 06  ,19th Oct 20
73,Final Fantasy XIII,All,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,7.71m,N/A,N/A,N/A,N/A,N/A,09th Mar 10  ,19th Oct 20
74,Pokémon Platinum Version,DS,Nintendo  ,Game Freak  ,N/A  ,8.3  ,8.9  ,7.60m,N/A,N/A,N/A,N/A,N/A,22nd Mar 09  ,N/A
75,NieR: Automata,All,Square Enix  ,PlatinumGames  ,N/A  ,N/A  ,N/A  ,7.50m,N/A,N/A,N/A,N/A,N/A,07th Mar 17  ,24th Dec 20
76,Baldur's Gate,Series,Interplay Entertainment Corp.  ,BioWare  ,N/A  ,N/A  ,N/A  ,7.47m,N/A,N/A,N/A,N/A,N/A,31st Jul 00  ,13th Feb 20
77,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,Nintendo  ,Level 5  ,N/A  ,N/A  ,N/A  ,7.30m,N/A,N/A,N/A,N/A,N/A,30th Sep 16  ,26th Jan 19
78,Dragon's Dogma,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,7.20m,N/A,N/A,N/A,N/A,N/A,22nd May 12  ,04th Feb 20
79,Persona 5,All,Atlus  ,Atlus  ,N/A  ,N/A  ,N/A  ,7.20m,N/A,N/A,N/A,N/A,N/A,04th Apr 17  ,06th Dec 20
80,Pokémon Emerald Version,GBA,Nintendo  ,Game Freak  ,N/A  ,7.7  ,N/A  ,7.06m,N/A,N/A,N/A,N/A,N/A,30th Apr 05  ,N/A
81,Grim Dawn,All,Crate Entertainment  ,Crate Entertainment  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,25th Feb 16  ,28th Feb 22
82,Guild Wars 2,PC,NCSoft  ,ArenaNet  ,9.5  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,28th Aug 12  ,N/A
83,Mana,Series,Square  ,Square  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,01st Nov 91  ,13th Feb 20
84,Nioh,Series,Koei Tecmo  ,Team Ninja  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,07th Feb 17  ,08th Feb 20
85,The Legend of Heroes: Trails,Series,Xseed Games  ,Falcom  ,N/A  ,N/A  ,N/A  ,7.00m,N/A,N/A,N/A,N/A,N/A,29th Mar 11  ,06th Feb 20
86,Star Wars: Knights of the Old Republic,Series,LucasArts  ,BioWare  ,N/A  ,N/A  ,N/A  ,6.73m,N/A,N/A,N/A,N/A,N/A,15th Jul 03  ,01st Mar 20
87,Kingdom Hearts III,All,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,6.70m,N/A,N/A,N/A,N/A,N/A,29th Jan 19  ,08th Nov 20
88,Fallout 4,PC,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,9.0  ,N/A  ,6.60m,N/A,N/A,N/A,N/A,N/A,10th Nov 15  ,24th Mar 18
89,Dragon Quest XI,All,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,6.50m,N/A,N/A,N/A,N/A,N/A,04th Sep 18  ,23rd Oct 20
90,Guild Wars,PC,NCSoft  ,ArenaNet  ,N/A  ,8.7  ,N/A  ,6.50m,N/A,N/A,N/A,N/A,N/A,26th Apr 05  ,N/A
91,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,9.0  ,N/A  ,N/A,6.49m,2.57m,2.68m,0.25m,0.99m,11th Nov 11  ,01st Apr 18
92,Final Fantasy XII,PS2,Square Enix  ,Square Enix  ,N/A  ,9.4  ,9.5  ,6.40m,N/A,N/A,N/A,N/A,N/A,31st Oct 06  ,N/A
93,Pokémon Crystal Version,GBC,Nintendo  ,Game Freak  ,N/A  ,8.7  ,N/A  ,6.39m,N/A,N/A,N/A,N/A,N/A,29th Jul 01  ,06th Jan 18
94,Kingdom Hearts,PS2,Square EA  ,SquareSoft  ,N/A  ,8.5  ,N/A  ,6.30m,N/A,N/A,N/A,N/A,N/A,16th Sep 02  ,N/A
95,Atelier,Series,Koei Tecmo  ,Gust  ,N/A  ,N/A  ,N/A  ,6.28m,N/A,N/A,N/A,N/A,N/A,28th Jun 05  ,12th Dec 20
96,Dragon Age: Inquisition,All,Electronic Arts  ,BioWare  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,18th Nov 14  ,31st Dec 20
97,Mass Effect 3,All,Electronic Arts  ,BioWare  ,N/A  ,N/A  ,N/A  ,6.00m,N/A,N/A,N/A,N/A,N/A,06th Mar 12  ,05th Dec 20
98,Final Fantasy IX,All,Square  ,Square  ,N/A  ,N/A  ,N/A  ,5.83m,N/A,N/A,N/A,N/A,N/A,13th Nov 00  ,19th Oct 20
99,Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo  ,Level 5  ,7.7  ,8.6  ,N/A  ,5.50m,N/A,N/A,N/A,N/A,N/A,11th Jul 10  ,N/A
100,Final Fantasy IX,PS,Square  ,SquareSoft  ,N/A  ,9.2  ,N/A  ,5.50m,N/A,N/A,N/A,N/A,N/A,13th Nov 00  ,N/A
101,Final Fantasy X-2,PS2,Square Enix  ,Square Enix  ,N/A  ,8.3  ,N/A  ,5.50m,N/A,N/A,N/A,N/A,N/A,18th Nov 03  ,N/A
102,Chrono,Series,Square  ,Square  ,N/A  ,N/A  ,N/A  ,5.45m,N/A,N/A,N/A,N/A,N/A,11th Aug 95  ,12th Feb 20
103,Dragon Ball Xenoverse,All,Bandai Namco Games  ,Dimps Corporation  ,N/A  ,N/A  ,N/A  ,5.35m,N/A,N/A,N/A,N/A,N/A,24th Feb 15  ,27th Oct 20
104,Final Fantasy XIII,PS3,Square Enix  ,Square Enix  ,9.0  ,8.0  ,9.2  ,N/A,5.35m,1.75m,1.23m,1.87m,0.51m,09th Mar 10  ,N/A
105,Fallout: New Vegas,PC,Bethesda Softworks  ,Obsidian Entertainment  ,N/A  ,8.3  ,N/A  ,5.22m,N/A,N/A,N/A,N/A,N/A,19th Oct 10  ,N/A
106,Kingdom Hearts II,PS2,Square Enix  ,Square Enix  ,N/A  ,8.3  ,N/A  ,5.20m,N/A,N/A,N/A,N/A,N/A,28th Mar 06  ,N/A
107,Fable III,X360,Microsoft Game Studios  ,Lionhead Studios  ,9.0  ,7.8  ,N/A  ,N/A,5.10m,3.59m,1.09m,0.05m,0.37m,26th Oct 10  ,N/A
108,Final Fantasy XV,PS4,Square Enix  ,Square Enix  ,N/A  ,8.1  ,9.0  ,N/A,5.07m,1.81m,1.53m,1.05m,0.68m,29th Nov 16  ,04th May 18
109,Disgaea,Series,Atlus  ,Nippon Ichi Software  ,N/A  ,N/A  ,N/A  ,5.05m,N/A,N/A,N/A,N/A,N/A,27th Aug 03  ,03rd Feb 21
110,Fallout 4,XOne,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,8.4  ,N/A  ,N/A,5.03m,2.94m,1.62m,0.02m,0.45m,10th Nov 15  ,24th Mar 18
111,Diablo II: Resurrected,All,Blizzard Entertainment  ,Vicarious Visions  ,N/A  ,N/A  ,N/A  ,5.00m,N/A,N/A,N/A,N/A,N/A,23rd Sep 21  ,17th Apr 22
112,Final Fantasy VII Remake,PS4,Square Enix  ,Square Enix  ,9.0  ,N/A  ,N/A  ,5.00m,N/A,N/A,N/A,N/A,N/A,10th Apr 20  ,05th Aug 20
113,South Park: The Stick of Truth,All,Ubisoft  ,Obsidian Entertainment  ,N/A  ,N/A  ,N/A  ,5.00m,N/A,N/A,N/A,N/A,N/A,04th Mar 14  ,16th Apr 21
114,Torchlight,Series,Encore  ,Runic Games  ,N/A  ,N/A  ,N/A  ,5.00m,N/A,N/A,N/A,N/A,N/A,27th Oct 09  ,20th Mar 20
115,Dark Souls,All,Namco Bandai Games  ,From Software  ,N/A  ,N/A  ,N/A  ,4.96m,N/A,N/A,N/A,N/A,N/A,04th Oct 11  ,20th Nov 20
116,Fallout 3,X360,Bethesda Softworks  ,Bethesda Game Studios  ,8.2  ,9.0  ,8.6  ,N/A,4.96m,3.41m,0.99m,0.09m,0.46m,28th Oct 08  ,N/A
117,Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix  ,Level 5 / Armor Project  ,N/A  ,8.6  ,N/A  ,4.90m,N/A,N/A,N/A,N/A,N/A,15th Nov 05  ,N/A
118,Dragon's Dogma: Dark Arisen,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,4.90m,N/A,N/A,N/A,N/A,N/A,23rd Apr 13  ,08th Jan 21
119,Monster Hunter Freedom 3,PSP,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,4.90m,N/A,N/A,N/A,N/A,N/A,01st Dec 10  ,08th Jan 19
120,Pokémon Mystery Dungeon: Explorers of Time / Darkness,DS,Nintendo  ,ChunSoft  ,N/A  ,6.4  ,N/A  ,4.88m,N/A,N/A,N/A,N/A,N/A,20th Apr 08  ,N/A
121,Ys,Series,Nihon Falcom Corp   ,Nihon Falcom  ,N/A  ,N/A  ,N/A  ,4.80m,N/A,N/A,N/A,N/A,N/A,21st Jun 87  ,09th Feb 21
122,The Witcher 3: Wild Hunt,XOne,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,4.70m,N/A,N/A,N/A,N/A,N/A,19th May 15  ,24th Mar 18
123,Wizardry,Series,Sirtech  ,Sir-Tech  ,N/A  ,N/A  ,N/A  ,4.60m,N/A,N/A,N/A,N/A,N/A,01st Sep 81  ,06th Apr 21
124,Mario & Luigi: Bowser's Inside Story,DS,Nintendo  ,AlphaDream Corporation  ,9.1  ,9.1  ,N/A  ,4.56m,N/A,N/A,N/A,N/A,N/A,14th Sep 09  ,N/A
125,Dragon Ball Z: Kakarot,All,Bandai Namco Entertainment  ,CyberConnect2  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,17th Jan 20  ,09th Oct 20
126,Might and Magic,Series,New World Computing  ,New World Computing  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,31st Jul 90  ,14th Mar 21
127,Monster Hunter 3,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,20th Apr 10  ,13th Oct 20
128,The Elder Scrolls IV: Oblivion,X360,Take-Two Interactive  ,Bethesda Softworks  ,8.8  ,9.2  ,N/A  ,N/A,4.47m,2.89m,1.03m,0.13m,0.41m,07th Jul 09  ,N/A
129,Dragon Quest VII,PS,Enix  ,Heart Beat  ,N/A  ,8.0  ,3.0  ,4.30m,N/A,N/A,N/A,N/A,N/A,01st Nov 01  ,27th Mar 18
130,Monster Hunter 4 Ultimate,3DS,Capcom  ,Capcom  ,N/A  ,8.8  ,N/A  ,4.20m,N/A,N/A,N/A,N/A,N/A,13th Feb 15  ,28th Mar 18
131,Monster Hunter 4,3DS,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,4.10m,N/A,N/A,N/A,N/A,N/A,14th Sep 13  ,07th Jan 19
132,Sakura Wars,Series,Sega  ,Red Entertainment  ,N/A  ,N/A  ,N/A  ,4.10m,N/A,N/A,N/A,N/A,N/A,30th Mar 10  ,08th Feb 20
133,Fallout: New Vegas,X360,Bethesda Softworks  ,Obsidian Entertainment  ,7.7  ,8.2  ,N/A  ,N/A,4.08m,2.67m,1.03m,0.04m,0.34m,19th Oct 10  ,N/A
134,Diablo II,PC,Blizzard Entertainment  ,Blizzard North  ,N/A  ,8.8  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,29th Jun 00  ,N/A
135,God Eater,Series,Bandai Namco Entertainment  ,Shift  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,15th Mar 11  ,12th Mar 20
136,Monster Rancher,Series,Tecmo  ,Tecmo  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,30th Nov 97  ,23rd Jan 21
137,Persona 5 Royal,All,Sega  ,Atlus  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,31st Mar 20  ,01st Dec 22
138,The Elder Scrolls III: Morrowind,All,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,01st May 02  ,27th Oct 20
139,The Outer Worlds,Series,Private Division  ,Obsidian Entertainment  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,25th Oct 19  ,06th Feb 20
140,The Outer Worlds,All,Private Division  ,Obsidian Entertainment  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,25th Oct 19  ,10th Oct 20
141,Fallout 3,PS3,Bethesda Softworks  ,Bethesda Game Studios  ,8.2  ,8.8  ,N/A  ,N/A,4.00m,2.18m,1.15m,0.07m,0.61m,28th Oct 08  ,N/A
142,The Elder Scrolls V: Skyrim,PC,Bethesda Softworks  ,Bethesda Game Studios  ,9.7  ,9.2  ,N/A  ,N/A,3.99m,1.18m,2.25m,N/A,0.56m,11th Nov 11  ,01st Apr 18
143,Divinity,Series,CDV Software Entertainment  ,Larian Studios  ,N/A  ,N/A  ,N/A  ,3.98m,N/A,N/A,N/A,N/A,N/A,22nd Sep 02  ,15th Mar 20
144,Dark Souls II,All,Bandai Namco Games  ,From Software  ,N/A  ,N/A  ,N/A  ,3.92m,N/A,N/A,N/A,N/A,N/A,11th Mar 14  ,23rd Nov 20
145,Dragon Quest III,NES,Enix  ,ChunSoft  ,N/A  ,N/A  ,8.0  ,3.90m,N/A,N/A,N/A,N/A,N/A,01st Mar 92  ,27th Mar 18
146,Final Fantasy III,All,Square  ,Square  ,N/A  ,N/A  ,N/A  ,3.86m,N/A,N/A,N/A,N/A,N/A,27th Apr 90  ,19th Oct 20
